"","SYMBOL","X91_23.X6103_230526","Normalized_Per_Million","Normal_Mean","Normal_Median","Normal_SD","Z_score","Foldchange","Gene_State","Potential_FP_or_FN"
"ENSG00000157764","BRAF",676.333,70.402,448.271,443.381,80.473,2.834,1.509,"HIGH","0"
"ENSG00000158825","CDA",11.19,1.165,11.085,9,6.566,0.016,1.009,"NORMAL","0"
"ENSG00000159110","IFNAR2",1961.619,204.192,381.003,359,55.736,28.359,5.149,"VERY HIGH","0"
"ENSG00000159131","GART",403.81,42.034,1032.662,1093.7143,248.038,-2.535,0.391,"LOW","0"
"ENSG00000160654","CD3G",1141.333,118.805,668.564,711.2857,180.697,2.616,1.707,"HIGH","0"
"ENSG00000160867","FGFR4",1,0.104,10.414,11.1905,5.281,-1.783,0.096,"LOW","0"
"ENSG00000161405","IKZF3",8218.81,855.525,3792.444,3966.1429,969.913,4.564,2.167,"HIGH","0"
"ENSG00000162009","SSTR5",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000162434","JAK1",2815.762,293.103,5427.048,5434.5238,720.162,-3.626,0.519,"LOW","0"
"ENSG00000162733","DDR2",252.619,26.296,783.782,663.1905,306.962,-1.73,0.322,"LOW","0"
"ENSG00000162889","MAPKAPK2",3364.286,350.2,1445.757,1408.2381,276.873,6.929,2.327,"HIGH","0"
"ENSG00000163517","HDAC11",34.238,3.564,58.426,54.619,16.132,-1.499,0.586,"LOW","0"
"ENSG00000163581","SLC2A2",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000163599","CTLA4",556.048,57.881,340.642,320.1429,132.361,1.627,1.632,"NORMAL","0"
"ENSG00000165197","VEGFD",0,0,14.747,11.8095,14.304,-1.031,0,"VERY LOW","0"
"ENSG00000165704","HPRT1",817.429,85.089,322.637,331.2857,89.086,5.554,2.534,"HIGH","0"
"ENSG00000165731","RET",22.476,2.34,25.336,19.4286,18.991,-0.151,0.887,"NORMAL","0"
"ENSG00000166183","ASPG",1.905,0.198,2.113,1,4.357,-0.048,0.902,"NORMAL","-"
"ENSG00000166963","MAP1A",40.476,4.213,185.677,186.4762,110.575,-1.313,0.218,"LOW","0"
"ENSG00000167286","CD3D",723.667,75.329,1831.622,1844.8571,452.017,-2.451,0.395,"LOW","0"
"ENSG00000167325","RRM1",1699.381,176.895,941.516,864.4286,417.72,1.814,1.805,"NORMAL","0"
"ENSG00000167552","TUBA1A",425.429,44.284,1492.789,1395.4762,388.064,-2.75,0.285,"LOW","0"
"ENSG00000167601","AXL",26.524,2.761,280.068,168.0952,191.95,-1.321,0.095,"LOW","0"
"ENSG00000168405","CMAHP",504.238,52.488,307.258,304.0952,85.322,2.309,1.641,"NORMAL","0"
"ENSG00000169032","MAP2K1",862.143,89.744,664.383,665.1429,86.01,2.299,1.298,"HIGH","0"
"ENSG00000169083","AR",16.762,1.745,43.967,37.2381,32.053,-0.849,0.381,"NORMAL","0"
"ENSG00000169442","CD52",14428.429,1501.906,3763.271,3814.3333,1018.85,10.468,3.834,"HIGH","0"
"ENSG00000171094","ALK",0,0,2.506,1.9048,2.4,-1.044,0,"VERY LOW","+"
"ENSG00000171608","PIK3CD",1616.286,168.245,2434.682,2458.2381,509.675,-1.606,0.664,"NORMAL","0"
"ENSG00000171720","HDAC3",1131.381,117.769,731.912,716,74.699,5.348,1.546,"HIGH","0"
"ENSG00000171791","BCL2",2267.238,236.005,1122.148,1055.619,378.651,3.024,2.02,"HIGH","0"
"ENSG00000171848","RRM2",612.286,63.735,954.757,942.8095,671.978,-0.51,0.641,"NORMAL","0"
"ENSG00000171855","IFNB1",0,0,0.358,0,0.659,-0.543,0,"NORMAL","-"
"ENSG00000172819","RARG",33.333,3.47,140.208,131.3333,39.073,-2.735,0.238,"LOW","0"
"ENSG00000173511","VEGFB",292.714,30.47,305.624,287,86.401,-0.149,0.958,"NORMAL","0"
"ENSG00000176105","YES1",137.333,14.295,206.754,172.6667,136.908,-0.507,0.664,"NORMAL","0"
"ENSG00000176387","HSD11B2",19.429,2.022,12.794,11.1905,9.951,0.667,1.519,"NORMAL","0"
"ENSG00000176890","TYMS",967.143,100.673,240.777,227.7619,150.84,4.815,4.017,"HIGH","0"
"ENSG00000177084","POLE",180.714,18.811,695.308,646.1905,174.419,-2.95,0.26,"LOW","0"
"ENSG00000177455","CD19",5045.81,525.236,1710.594,1657.2381,642.974,5.187,2.95,"HIGH","0"
"ENSG00000178035","IMPDH2",374.095,38.941,1653.083,1644.3333,274.691,-4.656,0.226,"VERY LOW","0"
"ENSG00000178568","ERBB4",1,0.104,4.361,4.5714,2.901,-1.159,0.229,"NORMAL","-"
"ENSG00000180616","SSTR2",64.952,6.761,35.549,28.9524,18.815,1.563,1.827,"NORMAL","0"
"ENSG00000181163","NPM1",4650.571,484.094,9407.02,9865.0476,2096.824,-2.268,0.494,"LOW","0"
"ENSG00000182054","IDH2",562.286,58.53,997.318,928.1429,237.989,-1.828,0.564,"LOW","0"
"ENSG00000182578","CSF1R",391.857,40.79,1921.907,1817.7143,691.621,-2.212,0.204,"LOW","0"
"ENSG00000182866","LCK",487.762,50.773,2233.877,2264.7619,441.173,-3.958,0.218,"VERY LOW","0"
"ENSG00000183765","CHEK2",61.095,6.36,184.263,191.5238,54.667,-2.253,0.332,"LOW","0"
"ENSG00000183813","CCR4",40.476,4.213,262.764,249.4286,112.083,-1.983,0.154,"LOW","0"
"ENSG00000184292","TACSTD2",58.048,6.042,18.168,15.4762,10.92,3.652,3.195,"HIGH","0"
"ENSG00000184428","TOP1MT",77.381,8.055,160.882,166.5238,37.575,-2.222,0.481,"LOW","0"
"ENSG00000185291","IL3RA",77.381,8.055,469.712,416.2381,207.905,-1.887,0.165,"LOW","0"
"ENSG00000185379","RAD51D",255.571,26.603,265.867,274.7143,48.31,-0.213,0.961,"NORMAL","0"
"ENSG00000185386","MAPK11",77.381,8.055,193.982,194.1429,61.236,-1.904,0.399,"LOW","0"
"ENSG00000185664","PMEL",13.905,1.447,7.429,6.6667,3.065,2.113,1.872,"NORMAL","0"
"ENSG00000185811","IKZF1",3601.619,374.905,3070.253,3054.0476,588.149,0.903,1.173,"NORMAL","0"
"ENSG00000186350","RXRA",228.619,23.798,367.313,285.8571,194.261,-0.714,0.622,"NORMAL","0"
"ENSG00000186716","BCR",179.952,18.732,578.351,551.619,145.013,-2.747,0.311,"LOW","0"
"ENSG00000186868","MAPT",201.667,20.992,39.787,30.5714,25.527,6.342,5.069,"HIGH","0"
"ENSG00000188379","IFNA2",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000188389","PDCD1",291.524,30.346,154.236,123.7143,84.529,1.624,1.89,"NORMAL","0"
"ENSG00000189221","MAOA",43.905,4.57,139.283,74.6667,132.841,-0.718,0.315,"NORMAL","0"
"ENSG00000196230","TUBB",7990.667,831.777,6771.591,6729.9048,2479.482,0.492,1.18,"NORMAL","0"
"ENSG00000196591","HDAC2",1521.143,158.341,782.303,782.4286,102.688,7.195,1.944,"VERY HIGH","0"
"ENSG00000196664","TLR7",142.952,14.88,285.271,251.4762,133.743,-1.064,0.501,"LOW","0"
"ENSG00000196839","ADA",197.333,20.541,371.947,378.381,89.791,-1.945,0.531,"LOW","0"
"ENSG00000197122","SRC",188.19,19.589,303.704,266.619,135.651,-0.852,0.62,"LOW","0"
"ENSG00000197461","PDGFA",122.429,12.744,66.519,47,56.3,0.993,1.841,"HIGH","0"
"ENSG00000198056","PRIM1",30.571,3.182,172,172.6667,47.785,-2.96,0.178,"LOW","0"
"ENSG00000198400","NTRK1",3.619,0.377,2.461,1.9048,2.183,0.53,1.471,"NORMAL","-"
"ENSG00000198408","MGEA5",8456.81,880.299,4016.393,3956.2381,706.107,6.289,2.106,"HIGH","0"
"ENSG00000198431","TXNRD1",413.048,42.996,1102.153,1101.3333,235.335,-2.928,0.375,"LOW","0"
"ENSG00000198793","MTOR",329.238,34.272,1177.782,1169.8571,169.992,-4.992,0.28,"VERY LOW","0"
"ENSG00000198851","CD3E",855.619,89.064,2532.579,2505.0952,601.841,-2.786,0.338,"LOW","0"
"ENSG00000204231","RXRB",453.762,47.234,692.732,699.7619,56.808,-4.207,0.655,"LOW","0"
"ENSG00000204264","PSMB8",462.524,48.146,2137.521,2119.0952,507.698,-3.299,0.216,"LOW","0"
"ENSG00000204580","DDR1",214.952,22.375,167.752,152.9524,66.618,0.709,1.281,"NORMAL","0"
"ENSG00000205220","PSMB10",1,0.104,408.02,360.4286,149.256,-2.727,0.002,"VERY LOW","0"
"ENSG00000206503","HLA-A",10804.524,1124.681,11954.511,12909.381,1894.822,-0.607,0.904,"NORMAL","0"
"ENSG00000213923","CSNK1E",864.429,89.981,633.419,598.3333,161.239,1.433,1.365,"HIGH","0"
"ENSG00000228716","DHFR",103.905,10.816,488.579,517,239.929,-1.603,0.213,"LOW","0"
"ENSG00000232810","TNF",141.619,14.742,165.927,146.5238,78.309,-0.31,0.854,"NORMAL","0"
"ENSG00000240065","PSMB9",1596.143,166.148,1551.674,1427.2857,488.324,0.091,1.029,"NORMAL","0"
"ENSG00000254087","LYN",4415,459.573,1810.501,1805.9524,334.14,7.795,2.439,"HIGH","0"
"ENSG00000258947","TUBB3",3.143,0.327,1.634,1,1.908,0.791,1.924,"NORMAL","-"
"ENSG00000278195","SSTR3",13.905,1.447,89.19,79.3333,42.349,-1.778,0.156,"LOW","0"
